uniprot	gene_symbol	is_CGC	is_NCG	is_OncoKB	is_MERGED
A0A024RBG1	NUDT4B	FALSE	FALSE	FALSE	FALSE
A0A075B6I3	IGLV11-55	FALSE	FALSE	FALSE	FALSE
A0A075B759	PPIAL4E	FALSE	FALSE	FALSE	FALSE
A0A075B767	PPIAL4H	FALSE	FALSE	FALSE	FALSE
A0A087WV53	SPEGNB	FALSE	FALSE	FALSE	FALSE
A0A087WV62	TRBV16	FALSE	FALSE	FALSE	FALSE
A0A087WXS9	TBC1D3I	FALSE	FALSE	FALSE	FALSE
A0A087X0K7	TRBV17	FALSE	FALSE	FALSE	FALSE
A0A087X179	TBC1D3E	FALSE	FALSE	FALSE	FALSE
A0A087X1G2	TBC1D3K	FALSE	FALSE	FALSE	FALSE
A0A096LNP1	DEFB131B	FALSE	FALSE	FALSE	FALSE
A0A096LNW5	NOTCH2NLR	FALSE	FALSE	FALSE	FALSE
A0A0A0MRZ9	IGLV5-52	FALSE	FALSE	FALSE	FALSE
A0A0A0MS02	TRGV1	FALSE	FALSE	FALSE	FALSE
A0A0A0MS04	TRBV6-7	FALSE	FALSE	FALSE	FALSE
A0A0A0MS05	TRBV5-7	FALSE	FALSE	FALSE	FALSE
A0A0A0MT76	IGLJ1	FALSE	FALSE	FALSE	FALSE
A0A0A0MT78	TRBJ2-7	FALSE	FALSE	FALSE	FALSE
A0A0A6YYG3	TRBV6-8	FALSE	FALSE	FALSE	FALSE
A0A0A6YYK4	TRBV7-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J248	TRAV1-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J264	TRAV38-1	FALSE	FALSE	FALSE	FALSE
A0A0B4J273	TRAV34	FALSE	FALSE	FALSE	FALSE
A0A0C4DH26	IGKV6D-41	FALSE	FALSE	FALSE	FALSE
A0A0C4DH30	IGHV3-16	FALSE	FALSE	FALSE	FALSE
A0A0K0K1A3	TRBV10-1	FALSE	FALSE	FALSE	FALSE
A0A0K0K1C0	TRBV11-1	FALSE	FALSE	FALSE	FALSE
A0A0K0K1E9	TRBV7-7	FALSE	FALSE	FALSE	FALSE
A0A1B0GVZ6	MBD3L2B	FALSE	FALSE	FALSE	FALSE
